,,,,,,,Playing Time,,,,Performance,,,,,,,Per 90 Minutes,,,,,Expected,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Sabit Abdulai,gh GHA,MF,Getafe,21,1999,3,0,60,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,Marcos Acuña,ar ARG,DF,Sevilla,28,1991,30,26,"2,330",25.9,1,2,1,0,0,5,0,0.04,0.08,0.12,0.04,0.12,1.1,1.1,2.8,4,0.04,0.11,0.15,0.04,0.15,Matches
3,Bobby Adekanye,nl NED,"FW,MF",Cádiz,21,1999,3,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.43,0,0.43,0.43,0.43,Matches
4,Martin Agirregabiria,es ESP,"DF,MF",Alavés,24,1996,26,16,"1,558",17.3,0,1,0,0,0,1,0,0,0.06,0.06,0,0.06,0.2,0.2,0.9,1.1,0.01,0.05,0.06,0.01,0.06,Matches
5,Joseph Aidoo,gh GHA,DF,Celta Vigo,24,1995,25,14,"1,289",14.3,0,0,0,0,0,3,0,0,0,0,0,0,0.8,0.8,0.6,1.4,0.06,0.04,0.1,0.06,0.1,Matches
6,Carlos Akapo,gq EQG,DF,Cádiz,27,1993,13,10,865,9.6,1,0,1,0,0,3,1,0.1,0,0.1,0.1,0.1,0.4,0.4,0.3,0.6,0.04,0.03,0.07,0.04,0.07,Matches
7,Paul Akouokou,ci CIV,MF,Betis,22,1997,10,4,378,4.2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0.4,0.4,0,0.08,0.08,0,0.08,Matches
8,Jony Álamo,es ESP,MF,Elche,18,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
9,Jordi Alba,es ESP,DF,Barcelona,31,1989,35,34,"3,025",33.6,3,5,3,0,0,9,0,0.09,0.15,0.24,0.09,0.24,2.4,2.4,7.4,9.8,0.07,0.22,0.29,0.07,0.29,Matches
10,Raúl Albiol,es ESP,DF,Villarreal,34,1985,35,35,"3,115",34.6,0,0,0,0,0,7,0,0,0,0,0,0,0.6,0.6,1,1.6,0.02,0.03,0.05,0.02,0.05,Matches
11,Paco Alcácer,es ESP,FW,Villarreal,26,1993,27,19,"1,544",17.2,6,4,5,1,2,0,0,0.35,0.23,0.58,0.29,0.52,8.3,6.7,3.2,9.9,0.48,0.19,0.67,0.39,0.58,Matches
12,Pedro Alcalá,es ESP,DF,Cádiz,31,1989,13,8,909,10.1,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.01,0,0.01,0.01,0.01,Matches
13,Rubén Alcaraz,es ESP,MF,Valladolid,29,1991,30,25,"2,165",24.1,1,0,1,0,0,10,0,0.04,0,0.04,0.04,0.04,1.7,1.7,0.6,2.3,0.07,0.03,0.09,0.07,0.09,Matches
14,Iván Alejo,es ESP,"MF,FW",Cádiz,25,1995,22,6,827,9.2,1,1,1,0,0,5,0,0.11,0.11,0.22,0.11,0.22,1,1,0.8,1.7,0.11,0.08,0.19,0.11,0.19,Matches
15,Carles Aleñá,es ESP,"MF,FW",Getafe,22,1998,22,15,"1,366",15.2,2,2,2,0,0,1,0,0.13,0.13,0.26,0.13,0.26,1.9,1.9,2,3.9,0.12,0.13,0.26,0.12,0.26,Matches
16,Carles Aleñá,es ESP,MF,Barcelona,22,1998,2,0,48,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
17,Alfon,es ESP,MF,Celta Vigo,21,1999,2,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.13,0.22,0.35,0.13,0.35,Matches
18,Sergio Álvarez,es ESP,"MF,DF",Eibar,28,1992,27,17,"1,568",17.4,0,0,0,0,0,3,0,0,0,0,0,0,0.3,0.3,0.9,1.2,0.02,0.05,0.07,0.02,0.07,Matches
19,Yeray Álvarez,es ESP,DF,Athletic Club,25,1995,23,22,"1,948",21.6,1,0,1,0,0,6,0,0.05,0,0.05,0.05,0.05,0.5,0.5,0.4,0.9,0.02,0.02,0.04,0.02,0.04,Matches
20,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
21,Jon Ander Garrido,es ESP,MF,Cádiz,30,1989,23,7,800,8.9,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.1,0.4,0.04,0.01,0.05,0.04,0.05,Matches
22,Ángel,es ESP,GK,Granada,18,2002,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Miguel Ángel Rubio,es ESP,DF,Valladolid,22,1998,2,1,135,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches
24,José Ángel,es ESP,DF,Eibar,30,1989,14,11,901,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.8,0.8,0,0.08,0.08,0,0.08,Matches
25,José Antonio Miranda,gq EQG,"MF,DF",Getafe,22,1998,4,0,26,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.69,0,0.69,0.69,0.69,Matches
26,Aritz Arambarri,es ESP,DF,Real Sociedad,22,1998,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.5,0,0.5,0.5,0.5,Matches
27,Mauro Arambarri,uy URU,MF,Getafe,24,1995,34,33,"2,983",33.1,3,0,3,0,0,11,0,0.09,0,0.09,0.09,0.09,2.2,2.2,2.1,4.3,0.07,0.06,0.13,0.07,0.13,Matches
28,Néstor Araujo,mx MEX,DF,Celta Vigo,28,1991,33,26,"2,426",27,0,0,0,0,0,5,0,0,0,0,0,0,0.3,0.3,0.7,1,0.01,0.02,0.04,0.01,0.04,Matches
29,Ronald Araújo,uy URU,DF,Barcelona,21,1999,24,16,"1,510",16.8,2,1,2,0,0,3,0,0.12,0.06,0.18,0.12,0.18,1.6,1.6,0.1,1.7,0.09,0.01,0.1,0.09,0.1,Matches
30,Anaitz Arbilla,es ESP,DF,Eibar,33,1987,34,30,"2,807",31.2,0,1,0,0,0,8,0,0,0.03,0.03,0,0.03,1.2,1.2,0.9,2.1,0.04,0.03,0.07,0.04,0.07,Matches
31,Unai Arietaleanizbeaskoa,es ESP,"FW,MF",Eibar,21,1999,4,0,47,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0,0.04,0.04,0.04,Matches
32,Sergio Arribas,es ESP,"FW,DF",Real Madrid,18,2001,8,0,135,1.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.02,0.03,0.05,0.02,0.05,Matches
33,Sergio Asenjo,es ESP,GK,Villarreal,31,1989,36,36,"3,240",36,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Marco Asensio,es ESP,"FW,MF",Real Madrid,24,1996,35,21,"1,869",20.8,5,2,5,0,0,1,0,0.24,0.1,0.34,0.24,0.34,4.9,4.9,3,7.9,0.23,0.15,0.38,0.23,0.38,Matches
35,Iago Aspas,es ESP,FW,Celta Vigo,32,1987,33,33,"2,864",31.8,14,13,9,5,5,9,0,0.44,0.41,0.85,0.28,0.69,12.5,8.7,8.3,17,0.39,0.26,0.65,0.27,0.54,Matches
36,Miguel Atienza,es ESP,MF,Eibar,21,1999,12,9,838,9.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.4,0.02,0.02,0.04,0.02,0.04,Matches
37,Ezequiel Ávila,ar ARG,"MF,FW",Osasuna,26,1994,8,2,202,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.7,0,0.7,0.31,0,0.31,0.31,0.31,Matches
38,Ramon Azeez,ng NGA,"MF,DF",Granada,27,1992,2,1,101,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.15,0,0.15,0.15,0.15,Matches
39,Carlos Bacca,co COL,FW,Villarreal,33,1986,23,9,786,8.7,5,0,5,0,0,1,0,0.57,0,0.57,0.57,0.57,3.5,3.5,0.9,4.4,0.4,0.11,0.5,0.4,0.5,Matches
40,Édgar Badía,es ESP,GK,Elche,28,1992,30,30,"2,700",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Alex Baena,es ESP,MF,Villarreal,19,2001,6,2,137,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.05,0.05,0.09,0.05,0.09,Matches
42,Miguel Baeza,es ESP,"MF,FW",Celta Vigo,20,2000,22,4,543,6,1,0,1,0,0,0,0,0.17,0,0.17,0.17,0.17,1.5,1.5,0.6,2.2,0.26,0.1,0.36,0.26,0.36,Matches
43,Mikel Balenziaga,es ESP,DF,Athletic Club,32,1988,23,17,"1,689",18.8,0,1,0,0,0,0,0,0,0.05,0.05,0,0.05,0,0,0.6,0.7,0,0.03,0.04,0,0.04,Matches
44,Barcia,es ESP,DF,Granada,19,2000,1,1,90,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
45,Enis Bardhi,mk MKD,"MF,FW",Levante,25,1995,26,19,"1,682",18.7,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,2.9,2.9,1.1,4,0.15,0.06,0.21,0.15,0.21,Matches
46,Kike Barja,es ESP,"MF,FW",Osasuna,23,1997,33,17,"1,433",15.9,2,3,2,0,0,2,0,0.13,0.19,0.31,0.13,0.31,1.8,1.8,1.9,3.7,0.12,0.12,0.23,0.12,0.23,Matches
47,Marc Baró,es ESP,DF,Cádiz,20,1999,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.02,0.33,0.35,0.02,0.35,Matches
48,Antonio Barragán,es ESP,DF,Elche,33,1987,27,26,"2,235",24.8,0,3,0,0,0,8,0,0,0.12,0.12,0,0.12,0.6,0.6,1,1.6,0.02,0.04,0.06,0.02,0.06,Matches
49,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,18,2001,31,13,"1,307",14.5,3,0,3,0,0,7,0,0.21,0,0.21,0.21,0.21,1.8,1.8,2,3.8,0.12,0.14,0.26,0.12,0.26,Matches
50,Marc Bartra,es ESP,DF,Betis,29,1991,19,19,"1,694",18.8,0,1,0,0,0,3,0,0,0.05,0.05,0,0.05,0.4,0.4,0.8,1.3,0.02,0.04,0.07,0.02,0.07,Matches
51,Álvaro Bastida,es ESP,MF,Cádiz,16,2004,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
52,Rodrigo Battaglia,ar ARG,MF,Alavés,29,1991,32,29,"2,492",27.7,1,0,1,0,0,10,1,0.04,0,0.04,0.04,0.04,1.2,1.2,0.2,1.4,0.04,0.01,0.05,0.04,0.05,Matches
53,Jon Bautista,es ESP,"FW,MF",Real Sociedad,25,1995,21,0,370,4.1,0,1,0,0,0,3,0,0,0.24,0.24,0,0.24,1,1,0.2,1.2,0.23,0.06,0.29,0.23,0.29,Matches
54,Fran Beltrán,es ESP,MF,Celta Vigo,21,1999,32,13,"1,399",15.5,3,0,3,0,0,3,0,0.19,0,0.19,0.19,0.19,1.4,1.4,0.3,1.7,0.09,0.02,0.11,0.09,0.11,Matches
55,Sergio Benito,es ESP,FW,Valladolid,21,1999,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Karim Benzema,fr FRA,FW,Real Madrid,32,1987,34,33,"2,894",32.2,23,9,22,1,1,2,0,0.72,0.28,1,0.68,0.96,17.8,17,6.3,23.3,0.55,0.2,0.75,0.53,0.72,Matches
57,Yuri Berchiche,es ESP,DF,Athletic Club,30,1990,23,21,"1,682",18.7,1,3,1,0,0,3,0,0.05,0.16,0.21,0.05,0.21,0.8,0.8,1.9,2.7,0.04,0.1,0.14,0.04,0.14,Matches
58,Álex Berenguer,es ESP,"MF,FW",Athletic Club,25,1995,35,27,"2,278",25.3,8,4,8,0,0,4,0,0.32,0.16,0.47,0.32,0.47,6.1,6.1,3.8,9.9,0.24,0.15,0.39,0.24,0.39,Matches
59,Pedro Bigas,es ESP,DF,Eibar,29,1990,21,19,"1,529",17,0,0,0,0,0,1,0,0,0,0,0,0,0.9,0.9,0,0.9,0.05,0,0.05,0.05,0.05,Matches
60,Blanco,es ESP,"MF,DF",Real Madrid,20,2000,4,2,220,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0.03,0.04,0.02,0.04,Matches
61,Alejandro Blanco,es ESP,MF,Valencia,21,1998,13,6,580,6.4,1,0,1,0,0,1,0,0.16,0,0.16,0.16,0.16,0.8,0.8,0.5,1.3,0.12,0.08,0.2,0.12,0.2,Matches
62,Rubén Blanco,es ESP,GK,Celta Vigo,25,1995,19,19,"1,637",18.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
63,Alejandro Blesa,es ESP,MF,Levante,18,2002,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
64,Yann Bodiger,fr FRA,MF,Cádiz,25,1995,9,2,251,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,Matches
65,Yassine Bounou,ma MAR,GK,Sevilla,29,1991,33,33,"2,970",33,1,0,1,0,0,3,0,0.03,0,0.03,0.03,0.03,0.3,0.3,0,0.4,0.01,0,0.01,0.01,0.01,Matches
66,Lucas Boyé,ar ARG,FW,Elche,24,1996,34,32,"2,694",29.9,7,2,7,0,0,9,1,0.23,0.07,0.3,0.23,0.3,5.9,5.9,1,7,0.2,0.03,0.23,0.2,0.23,Matches
67,Martin Braithwaite,dk DEN,FW,Barcelona,29,1991,29,11,"1,175",13.1,2,2,2,0,1,3,0,0.15,0.15,0.31,0.15,0.31,5,4.2,2,6.3,0.38,0.16,0.54,0.32,0.48,Matches
68,Darko Bra_anac,rs SRB,MF,Osasuna,28,1992,16,9,909,10.1,2,0,2,0,0,4,0,0.2,0,0.2,0.2,0.2,1.3,1.3,0.2,1.4,0.12,0.02,0.14,0.12,0.14,Matches
69,Álvaro Bravo,es ESP,MF,Granada,22,1998,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
70,Claudio Bravo,cl CHI,GK,Betis,37,1983,20,20,"1,800",20,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.3,0.3,0,0.01,0.01,0,0.01,Matches
71,Yan Brice Eteki,cm CMR,MF,Granada,22,1997,25,16,"1,321",14.7,0,0,0,0,0,4,1,0,0,0,0,0,0.3,0.3,0,0.4,0.02,0,0.02,0.02,0.02,Matches
72,Juan Brunet,ar ARG,MF,Granada,22,1998,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
73,Bryan,es ESP,"MF,FW",Eibar,19,2001,28,26,"2,265",25.2,4,3,4,0,0,6,0,0.16,0.12,0.28,0.16,0.28,4,3.6,5.2,8.8,0.16,0.21,0.36,0.14,0.35,Matches
74,Bryan,es ESP,FW,Sevilla,19,2001,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Ante Budimir,hr CRO,FW,Osasuna,29,1991,30,18,"1,625",18.1,11,0,11,0,0,3,0,0.61,0,0.61,0.61,0.61,7.1,7.1,0.6,7.7,0.39,0.03,0.43,0.39,0.43,Matches
76,Esteban Burgos,ar ARG,DF,Eibar,28,1992,14,12,"1,111",12.3,3,1,1,2,3,5,0,0.24,0.08,0.32,0.08,0.16,3.3,1.1,0.1,1.2,0.27,0.01,0.28,0.09,0.1,Matches
77,Burgui,es ESP,MF,Alavés,26,1993,1,0,21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
78,Sergio Busquets,es ESP,MF,Barcelona,32,1988,36,32,"2,517",28,0,5,0,0,0,9,0,0,0.18,0.18,0,0.18,0.2,0.2,3.6,3.8,0.01,0.13,0.14,0.01,0.14,Matches
79,Erick Cabaco,uy URU,DF,Getafe,25,1995,20,15,"1,326",14.7,0,0,0,0,0,9,0,0,0,0,0,0,0.2,0.2,0,0.2,0.02,0,0.02,0.02,0.02,Matches
80,Cala,es ESP,DF,Cádiz,30,1989,28,26,"2,272",25.2,3,0,3,0,0,8,0,0.12,0,0.12,0.12,0.12,1.4,1.4,0.3,1.7,0.06,0.01,0.07,0.06,0.07,Matches
81,Jonathan Calleri,ar ARG,FW,Osasuna,26,1993,25,20,"1,544",17.2,5,2,5,0,0,4,0,0.29,0.12,0.41,0.29,0.41,5.9,5.9,1.3,7.2,0.34,0.08,0.42,0.34,0.42,Matches
82,Dani Calvo,es ESP,DF,Elche,26,1994,23,19,"1,779",19.8,2,0,2,0,0,3,0,0.1,0,0.1,0.1,0.1,0.9,0.9,0,0.9,0.05,0,0.05,0.05,0.05,Matches
83,José Campaña,es ESP,MF,Levante,27,1993,9,8,748,8.3,1,2,0,1,1,0,0,0.12,0.24,0.36,0,0.24,1.4,0.7,1.4,2,0.17,0.16,0.34,0.08,0.25,Matches
84,Sergio Canales,es ESP,"MF,FW",Betis,29,1991,31,28,"2,498",27.8,8,6,6,2,3,4,0,0.29,0.22,0.5,0.22,0.43,5.4,2.9,5.1,8,0.19,0.18,0.38,0.11,0.29,Matches
85,Álex Cantero,es ESP,FW,Levante,20,2000,4,3,237,2.6,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,1,1.1,0.06,0.36,0.43,0.06,0.43,Matches
86,Ander Capa,es ESP,DF,Athletic Club,28,1992,28,25,"2,131",23.7,2,1,2,0,0,5,0,0.08,0.04,0.13,0.08,0.13,1.1,1.1,1.6,2.7,0.05,0.07,0.11,0.05,0.11,Matches
87,Étienne Capoue,fr FRA,MF,Villarreal,32,1988,16,15,"1,185",13.2,1,0,1,0,0,5,1,0.08,0,0.08,0.08,0.08,0.5,0.5,0.1,0.6,0.04,0.01,0.05,0.04,0.05,Matches
88,Isaac Carcelen,es ESP,DF,Cádiz,27,1993,32,31,"2,581",28.7,0,1,0,0,0,3,0,0,0.03,0.03,0,0.03,0.4,0.4,1,1.4,0.01,0.03,0.05,0.01,0.05,Matches
89,Cárdenas,es ESP,GK,Levante,23,1997,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
90,Marc Cardona,es ESP,"FW,MF",Osasuna,25,1995,3,0,53,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.3,0,0.3,0.3,0.3,Matches
91,Diego Carlos,br BRA,DF,Sevilla,27,1993,33,32,"2,788",31,1,0,1,0,0,11,1,0.03,0,0.03,0.03,0.03,1,1,0.6,1.6,0.03,0.02,0.05,0.03,0.05,Matches
92,Juan Carlos,es ESP,"MF,FW",Huesca,29,1991,15,3,291,3.2,0,1,0,0,0,0,0,0,0.31,0.31,0,0.31,0.5,0.5,0.3,0.8,0.14,0.1,0.24,0.14,0.24,Matches
93,Yannick Carrasco,be BEL,"DF,MF",Atlético Madrid,26,1993,30,25,"2,179",24.2,6,10,6,0,0,6,0,0.25,0.41,0.66,0.25,0.66,6,6,5.6,11.6,0.25,0.23,0.48,0.25,0.48,Matches
94,Sergio Carreira,es ESP,DF,Celta Vigo,19,2000,3,3,259,2.9,1,0,1,0,0,0,0,0.35,0,0.35,0.35,0.35,0.4,0.4,0,0.4,0.13,0,0.13,0.13,0.13,Matches
95,Guido Carrillo,ar ARG,FW,Elche,29,1991,21,11,"1,002",11.1,3,2,3,0,0,3,0,0.27,0.18,0.45,0.27,0.45,2.7,2.7,1.3,4,0.24,0.11,0.36,0.24,0.36,Matches
96,Dani Carvajal,es ESP,DF,Real Madrid,28,1992,13,11,950,10.6,0,2,0,0,0,5,0,0,0.19,0.19,0,0.19,0.6,0.6,0.8,1.4,0.05,0.08,0.13,0.05,0.13,Matches
97,William Carvalho,pt POR,MF,Betis,28,1992,27,12,"1,223",13.6,2,0,2,0,0,6,1,0.15,0,0.15,0.15,0.15,1.3,1.3,0.5,1.7,0.09,0.03,0.13,0.09,0.13,Matches
98,Casemiro,br BRA,MF,Real Madrid,28,1992,34,32,"2,901",32.2,6,4,6,0,0,11,1,0.19,0.12,0.31,0.19,0.31,4.6,4.6,3.6,8.2,0.14,0.11,0.25,0.14,0.25,Matches
99,Sofian Chakla,ma MAR,DF,Getafe,26,1993,11,9,897,10,0,0,0,0,0,5,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.01,0.01,0.02,0.01,0.02,Matches
100,Sofian Chakla,ma MAR,DF,Villarreal,26,1993,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.39,0,0.39,0.39,0.39,Matches
